sample-id,bio_or_control,category_broad,category_specific,bird_id,bird_sex,bird_age,capture_date,num_mites_feather,num_mites_total,mite_sp_fm,shannon_500,faith_pd_500,observed_features_500,chao_500,braycurtis_pc1_500,braycurtis_pc2_500,braycurtis_pc3_500,jaccard_pc1_500,jaccard_pc2_500,jaccard_pc3_500,unweightedunifrac_pc1_500,unweightedunifrac_pc2_500,unweightedunifrac_pc3_500,weightedunifrac_pc1_500,weightedunifrac_pc2_500,weightedunifrac_pc3_500,rpca_pc1_500,rpca_pc2_500,rpca_pc3_500,shannon_1451,faith_pd_1451,observed_features_1451,braycurtis_pc1_1451,braycurtis_pc2_1451,braycurtis_pc3_1451,jaccard_pc1_1451,jaccard_pc2_1451,jaccard_pc3_1451,unweightedunifrac_pc1_1451,unweightedunifrac_pc2_1451,unweightedunifrac_pc3_1451,weightedunifrac_pc1_1451,weightedunifrac_pc2_1451,weightedunifrac_pc3_1451
PF06,biological,feather,feather,Flatten the Curve,Male,ASY,05/05/21,31,51,Amerodectes and Proctophyllodes,5.25806791720315,13.4486998455125,69,69,-0.247332744445645,0.010193009496812,-0.231163984422743,-0.062468264608242,-0.341702869795858,0.04147442692352,-0.005898288489392,0.390997034592746,-0.173170905593701,-0.358595802124321,0.334063975204547,-0.108466632520894,0.100982986564036,-0.056740406782422,-0.24924004842372,5.25806791720315,13.44869985,69,-0.2486852,-0.114353594,0.282530674,-0.069849704,-0.334405983,-0.010344635,-0.007859726,0.358432718,-0.152899197,-0.319796128,-0.396789522,0.11104179
PM07,biological,mites,mites,Loretta,Female,SY,05/05/21,15,204,Amerodectes,3.31993466030456,3.13599804301787,24,24,0.370651352879063,-0.122785402506947,-0.033159749146231,0.250072660168967,0.137577707425251,0.115933124047243,0.240529944357527,-0.14649969342247,0.032811463785415,0.128048476546521,0.012806174576624,0.02306330678872,-0.077048728368287,0.015681461280101,0.001056077380971,3.29921299655565,3.135998043,24,0.306066807,0.124006341,-0.021961948,0.24703219,0.125824975,-0.096810983,0.233282174,-0.143903432,0.052562386,0.124026512,0.003978214,-0.016496604
PF07,biological,feather,feather,Loretta,Female,SY,05/05/21,15,204,Amerodectes,5.41244967999943,13.6488855240617,157,157,-0.167712296283514,-0.155354029317656,0.263927514134763,-0.11338234309055,-0.013830384964201,0.042030723895764,-0.269301384738509,-0.123391004388063,0.03931623106936,-0.077465972228789,-0.144378523456519,0.079341724326609,0.250239922179885,0.168684187938278,0.15070007430424,5.28421494546272,12.2047299,143,-0.231166951,0.065728224,-0.306012847,-0.119916992,-0.013942078,-0.023957591,-0.238834815,-0.136391815,0.055792038,-0.105182897,0.12683623,-0.099275006
WASH01,control,control,wash_control,wash_control,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
WASH03,control,control,wash_control,wash_control,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
KITA01,control,control,kit_control,kit_control,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
AKC01,control,control,area_control,area_control,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
PM08,biological,mites,mites,Cash,Male,ASY,05/05/21,43,210,Amerodectes and Proctophyllodes,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
PF08,biological,feather,feather,Cash,Male,ASY,05/06/21,43,210,Amerodectes and Proctophyllodes,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
PM09,biological,mites,mites,Mary Girl,Female,ASY,05/06/21,8,17,Amerodectes,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
PF09,biological,feather,feather,Mary Girl,Female,ASY,05/06/21,8,17,Amerodectes,4.93826936600116,9.79653387757192,44,44,-0.245442333862232,0.028089754721987,-0.248935527039742,-0.105144615187864,-0.096682677196443,0.18246539300801,-0.037778454229536,0.40341690708872,-0.040596509332269,-0.273610544220865,0.124243485384887,0.027513844389534,0.033941725482229,-0.014688237036243,-0.289710961137065,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
PM10,biological,mites,mites,Ms. Zip,Female,ASY,05/06/21,116,378,Amerodectes,2.21686422097461,1.83104911865975,9,9,-0.004119519431757,0.424957799787441,-0.084985791481618,0.260064157756129,0.144071369251472,0.083576630673362,0.30256937762447,-0.127945212255675,0.09962341296148,0.177443197003331,0.046489438278275,-0.061424232667246,-0.063393588837942,-0.031863081258963,-0.165887867081028,2.22515232234213,1.831049119,9,0.392976526,-0.042764231,-0.017266356,0.273553707,0.143217231,-0.041566927,0.307271782,-0.12752389,0.079723753,0.172263697,-0.01017768,0.065544557
PF10,biological,feather,feather,Ms. Zip,Female,ASY,05/06/21,116,378,Amerodectes,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
PM11,biological,mites,mites,Dolly,Female,ASY,05/06/21,93,263,Amerodectes,2.24141628540764,4.71116230181925,34,34,0.41226133710701,-0.095646544065431,-0.038993909967377,0.130017903092821,0.044309371604622,-0.000454304079048,0.13734073125497,-0.097691938512443,0.047296063632771,0.178385361162842,0.030792642806072,0.002820003890273,-0.193891924261225,0.060275314656355,0.081125502047536,2.17713895510745,4.425518481,29,0.400018325,-0.023704327,-0.028591053,0.15225666,0.067768136,0.017871687,0.135532431,-0.105275739,0.028001169,0.173322121,-0.003617905,0.003215478
PF11,biological,feather,feather,Dolly,Female,ASY,05/06/21,93,263,Amerodectes,6.63296746800124,31.0833117975125,320,320.25,-0.122239482377103,0.088832648395838,0.221635585465847,-0.245442946358127,0.107167268933662,-0.060021566725389,-0.306576792129841,-0.043389243165305,-0.023237872672506,-0.003668454142253,-0.075072815855913,0.101579474987986,0.091410175316885,-0.567893520057108,0.109845050237777,6.42334936778388,21.01684859,225,-0.238273452,-0.268041531,0.001606729,-0.264997537,0.114238393,0.038425705,-0.293215493,-0.014419662,0.039170996,-0.009579414,0.056401778,-0.07591472
PM12,biological,mites,mites,Shania,Female,ASY,05/06/21,41,318,Amerodectes,4.36980549897032,6.2981436578539,46,46,-0.040672562341815,-0.353250130004498,-0.145445685242979,0.052394635358377,-0.151302854383494,0.167648227229463,0.072385647638571,0.086312080713197,-0.23838743297066,-0.010137005894066,0.064478015702908,0.076396338008052,-0.030429639460646,0.032032740390052,0.100813304201087,4.38887859386857,6.298143658,46,-0.13252596,0.406386503,0.090868216,0.043761569,-0.141158451,-0.19185056,0.053563196,0.086537553,-0.268221621,-0.011335698,-0.07168914,-0.068141318
PF12,biological,feather,feather,Shania,Female,ASY,05/06/21,41,318,Amerodectes,6.10307205946477,18.8497578515192,160,160,-0.247928726041404,-0.083828233750334,0.300438191977951,-0.240638087006182,0.108175823485379,-0.083823811865854,-0.274524166181134,-0.014514916240794,-0.084087483071563,-0.102912302571961,-0.086054101276367,0.119866707634486,0.360112881193882,-0.067857206803079,0.046542185370839,6.02436718461083,16.66411867,140,-0.293466162,-0.100064752,-0.248221411,-0.247031584,0.0795659,0.112057537,-0.266692909,-0.039204581,-0.059683464,-0.111812661,0.062411874,-0.113409344
PM13,biological,mites,mites,Patsy,Female,SY,05/06/21,33,56,Amerodectes and Proctophyllodes,2.93683381628478,6.46055274156474,34,34,0.37989862049808,-0.118400507699319,-0.033770391669348,0.135076617832498,0.110175037380324,-0.076049675083336,0.15637917692602,-0.118425194889646,-0.000860448301781,0.134403946066552,0.030065031020092,-0.007979245950448,-0.131104928804692,0.040685926343093,0.119874577359554,2.91657375596808,5.989237502,31,0.328370287,0.075447202,-0.019072233,0.157010038,0.120048358,0.152498753,0.184399743,-0.096971912,0.015650889,0.123821775,-0.020513725,0.015248206
PF13,biological,feather,feather,Patsy,Female,SY,05/06/21,33,56,Amerodectes and Proctophyllodes,3.79320612238243,4.00495387712834,28,28,-0.260000358658088,0.022831321775088,-0.09200844051065,-0.099475299167422,-0.03403752832315,-0.005564026809251,0.031495581210438,-0.129566256533969,0.181985158038214,-0.026381996538984,-0.089716543105216,0.04581558738813,0.14447297561656,-0.176503096838702,-0.243275494920679,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
PM14,biological,mites,mites,Reba,Female,SY,05/06/21,267,688,Amerodectes,2.81092002351166,3.64885056929282,20,20,0.155790803799964,0.409584346844525,-0.002546778023295,0.204187224828691,0.031819842165468,-0.212328044258422,0.279082500803387,-0.137228281950434,0.041112114621879,0.171058562527819,0.021931431048847,0.004385108678925,-0.101175789091077,-0.031781269260085,-0.081708165118229,2.79923255348064,3.648850569,20,0.389998018,-0.111527744,0.000988795,0.190396898,-0.005341149,0.181079945,0.277398449,-0.14126358,0.0472249,0.169608535,0.002811545,0.003854712
PF14,biological,feather,feather,Reba,Female,SY,05/06/21,267,688,Amerodectes,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
PF15,biological,feather,feather,DeAnthony,Male,SY,05/12/21,0,80,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
WASH14,control,control,wash_control,wash_control,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
KITA02,control,control,kit_control,kit_control,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
AKC02,control,control,area_control,area_control,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
PM16,biological,mites,mites,Lucinda,Female,ASY,05/06/21,35,125,Amerodectes,2.05323607057055,6.29269523252701,30,30,0.418040977404335,-0.059487617531695,-0.030382351698397,0.201216480814829,0.146959504108791,0.024085105794836,0.121370812932397,-0.031021725101251,-0.165894913525277,0.186117959780293,0.024913198524138,0.00609713933849,-0.158707146915152,0.036633694893678,0.038732905593882,2.03268636424118,5.595496677,27,0.411229873,-0.0819844,-0.019285486,0.205515659,0.130092755,-0.066148255,0.119679286,-0.046142886,-0.147390805,0.184011357,0.005579758,0.000988842
PF16,biological,feather,feather,Lucinda,Female,ASY,05/06/21,35,125,Amerodectes,5.97927646163237,19.4531933661041,212,212,-0.148480766402983,-0.00749272822363,0.321442580208907,-0.210986363597321,0.141106692152981,-0.000192179331538,-0.304801368086808,-0.052865501095403,-0.014206590243048,-0.14686165356315,-0.122129575179003,0.134758620141707,0.236359154725797,0.08490802424278,0.28993611553729,5.80428906156425,16.92096732,174,-0.221046978,-0.098996067,-0.28913698,-0.212003029,0.139291708,0.031233797,-0.273509196,-0.006521169,-0.061332928,-0.159611026,0.099643723,-0.143072887
PM17,biological,mites,mites,Rebound,Male,SY,05/12/21,63,170,Amerodectes,3.49368207219836,2.43007644767284,19,19,-0.08965712222715,-0.316188051243128,-0.193659749052921,0.034855471749662,-0.178697866094195,-0.121911128599598,0.26198743755051,-0.13721597127767,0.091745260497052,0.030320610471486,-0.004610197264035,0.021302912569807,-0.011402588178014,0.026309550286402,-0.046620800062696,3.44828522389312,2.430076448,19,-0.163325851,0.381566692,0.119471438,0.030617436,-0.199289076,0.088488675,0.245295532,-0.137053943,0.079576928,0.01610328,-0.013070053,-0.01603351
PF17,biological,feather,feather,Rebound,Male,SY,05/12/21,63,170,Amerodectes,5.97987485238886,21.9470471519009,257,257.75,0.010980310054524,-0.00793624097495,0.067364980768622,-0.128205428191398,-0.059745162257522,0.001270292369513,-0.330595665995436,-0.098766136562849,0.049962535797654,0.025325976813038,-0.053299795417081,0.03057820086214,-0.393264801029038,-0.027949117598195,0.15600033217491,5.76834679083953,17.61907262,198,-0.059720567,0.020455189,0.015670959,-0.121042514,-0.095318002,-0.037016941,-0.319793701,-0.108552693,0.013467398,0.006108294,0.037465414,-0.021137053
PM18,biological,mites,mites,Desmond,Male,ASY,05/12/21,79,491,Amerodectes,2.30278141389581,4.26067779663927,25,25,0.430240245649511,-0.041224569047908,-0.015212194296738,0.191672380590368,0.107209145325163,-0.03323649951091,0.244243815574997,-0.145517878331358,-0.031459965326597,0.140144532211394,0.035433014253943,-0.005296650861626,-0.158890788031506,0.032762111673795,0.057478504822368,2.29609493313458,4.127352665,24,0.401898249,-0.02001953,-0.032784915,0.189542935,0.056260223,0.02295064,0.249932712,-0.147003224,-0.040460645,0.140537907,-0.01426426,0.018758604
PF18,biological,feather,feather,Desmond,Male,ASY,05/12/21,79,491,Amerodectes,3.51237591834684,8.0443353895839,54,54,0.078935107317225,0.437537670834707,-0.00695728064767,0.015441613011199,0.028884469499646,0.109803091643124,-0.12855702448787,-0.115406444220133,0.117697287606806,0.138599546627864,0.011573178892723,0.030445287914028,-0.108425857785834,-0.033429846459905,0.032588981062399,3.50400905936699,7.978719211,53,0.354551469,-0.169327736,0.00607449,0.012002986,0.001627495,-0.18921607,-0.148033268,-0.099035805,0.075704226,0.134899544,0.005674575,-0.024682063
PM19,biological,mites,mites,DB,Male,U,05/12/21,6,19,Amerodectes,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
PF19,biological,feather,feather,DB,Male,U,05/12/21,6,19,Amerodectes,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
PM20,biological,mites,mites,CB,Female,SY,05/12/21,37,257,Amerodectes,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
PF20,biological,feather,feather,CB,Female,SY,05/12/21,37,257,Amerodectes,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
H2O,control,control,water_control,water_control,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
ETOH,control,control,etoh_control,etoh_control,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
PM21,biological,mites,mites,Maren,Female,ASY,05/13/21,44,136,Amerodectes and Proctophyllodes,4.45978282039507,12.162579590155,69,69,0.348314921671617,-0.134842745223483,-0.040827486070991,0.064561745958407,-0.066501034742756,0.052157710186301,0.018836040582755,0.17881737684211,-0.403211767406375,0.056241887315013,0.066806813866835,-0.019719898965194,-0.220111314258599,0.052883667652602,0.064057048772758,4.38818725684011,11.82211001,65,0.2558647,0.138740623,-0.011797564,0.066071583,-0.053891412,0.006833073,0.017256796,0.168898902,-0.390447475,0.054807218,-0.0614907,0.019844837
PF21,biological,feather,feather,Maren,Female,ASY,05/13/21,44,136,Amerodectes and Proctophyllodes,5.09275282463875,11.3548573469909,91,91,0.061842795166743,-0.04844345448636,0.176901569973358,-0.046997495075704,0.05839664218415,0.05946902967869,-0.168896004136338,-0.106395700480663,0.01259465690062,-0.000915120241424,-0.040399723034529,0.072021315458623,0.017317209500084,0.155050948747817,0.159776571410152,5.08519044606382,10.42778282,81,-0.050827711,0.16210371,-0.18763414,-0.045332113,0.070609113,-0.057803363,-0.123449092,-0.100312876,-0.013943482,-0.023981572,0.038036257,-0.079996442
PM22,biological,mites,mites,Rosanne,Female,SY,05/13/21,1,38,Proctophyllodes,3.41920183853256,5.76813794003394,41,41,-0.057636323879249,-0.344463155984532,-0.168472840227298,0.091772800448158,-0.051302170981451,-0.049049832682531,0.157002304507863,0.007834347625899,-0.14166970077056,0.069677547591577,0.083388464951219,0.003795813091499,-0.063613350066385,0.143569652728252,0.108111012492295,3.40968500304721,5.580330646,39,-0.148946839,0.398796329,0.109533653,0.090094129,-0.050301184,0.078677747,0.157100456,0.03387773,-0.178386717,0.07634038,-0.075151806,-0.007531134
PF22,biological,feather,feather,Rosanne,Female,SY,05/13/21,1,38,Proctophyllodes,5.45220893576593,10.9057609716997,99,99.75,-0.067259040303713,-0.276272931091498,0.036997185509494,-0.160082533333685,-0.010301417838069,0.17752805279519,-0.192133064622901,-0.099356412739049,-0.007897161613844,-0.014795849184931,-0.026049164723585,0.094223216294098,0.037273640961162,0.087356588272031,0.259904628999803,5.35752727275722,9.467271982,89,-0.187192382,0.313465576,0.037285671,-0.178864346,0.045277473,-0.110635331,-0.202777837,-0.095113411,0.00814151,-0.013710669,0.013485939,-0.091286884
PM23,biological,mites,mites,Martina,Female,SY,05/13/21,6,41,Proctophyllodes,4.51147525903416,4.88785271838643,52,52,-0.061069700936438,-0.199038607622621,-0.052551723609039,0.061585968014654,-0.159202329417179,0.026050069144384,0.256415176625437,-0.05703139043321,-0.013254389940774,0.03981403045968,0.01802382890203,-0.100860564117375,-0.020328400864166,0.038661926606463,-0.00973824545652,4.43654396589049,4.887852718,52,-0.137541295,0.217214478,0.106352711,0.056439271,-0.16164945,-0.025489574,0.250730798,-0.046743356,-0.013268077,0.03352164,-0.007749708,0.099966943
PF23,biological,feather,feather,Martina,Female,SY,05/13/21,6,41,Proctophyllodes,4.5316466212055,8.02094459290648,44,44,-0.219152842422861,-0.038423685339382,0.105596783294603,-0.089207824627476,-0.180114830660042,0.112576643632009,-0.054525358207552,0.280078542343957,0.185978227761501,-0.207684675542142,0.257194521798557,0.253761824280697,0.070292998960395,0.063708706697437,-0.031811687427561,4.50190164336397,7.89300958,43,-0.252282304,0.157093683,-0.199964267,-0.101780611,-0.195239452,-0.234893403,-0.032364858,0.334641936,0.126009783,-0.163530633,-0.281745061,-0.262937053
PM24,biological,mites,mites,Yellow B,Female,ASY,05/13/21,76,663,Amerodectes and Proctophyllodes,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
PF24,biological,feather,feather,Yellow B,Female,ASY,05/13/21,76,663,Amerodectes and Proctophyllodes,3.82575169642019,7.57450030015852,31,31,-0.264931836346106,0.066904417098236,-0.050850368129678,0.08042245311168,-0.017283435771316,0.099002376533271,0.03376242229885,0.355892497575082,0.203987983347828,-0.20767234071971,-0.118180552163828,-0.061065145996921,0.148830116633749,0.083129022948251,-0.230171447320216,3.8093990070668,7.5745003,31,-0.287933749,-0.102678272,-0.213350759,0.053556993,-0.005261805,-0.132742631,0.032262269,0.361265492,0.195720803,-0.235199787,0.097536934,0.033277318
PM25,biological,mites,mites,Tony,Male,SY,05/14/21,267,712,Amerodectes and Proctophyllodes,5.84019626149828,4.73745229968621,71,71,-0.191160616706805,0.080622876467526,-0.182711605865663,0.039604168168784,-0.122091114529994,-0.375209175631508,0.28771564714994,-0.095092958999783,-0.029806547083737,-0.073414018319019,-0.034207108100506,-0.263266526397917,-0.073998358924993,-0.023253783873942,-0.253053141667219,5.82102092888855,4.686454682,70,-0.195247472,-0.117084996,0.285744509,0.039909026,-0.161139489,0.348182244,0.282436709,-0.081025286,-0.023595551,-0.096007841,0.024619586,0.264253269
PF25,biological,feather,feather,Tony,Male,SY,05/14/21,267,712,Amerodectes and Proctophyllodes,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
WASH25,control,control,wash_control,wash_control,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
AKC03,control,control,area_control,area_control,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
KITB01,control,control,kit_control,kit_control,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
PM26,biological,mites,mites,Tyus,Male,SY,05/14/21,90,150,Amerodectes and Proctophyllodes,3.08607176406904,6.32734353923279,47,47,0.349505553101248,-0.016285558205136,-0.036169338110984,0.163138464153,0.038155983859696,-0.101175909223538,0.198591066788112,-0.137322983755293,-0.086881083489892,0.16079569823477,0.032996034122152,-0.034940917400991,0.007528285440592,0.173154846564067,0.10646139365871,3.08188127474096,5.770088071,44,0.312492278,-0.117908615,0.079385668,0.174920054,0.028123516,0.093689761,0.233747262,-0.147480879,-0.016731597,0.154779777,-0.007578746,0.046273642
PF26,biological,feather,feather,Tyus,Male,SY,05/14/21,90,150,Amerodectes and Proctophyllodes,5.67498696717251,19.1925481316989,175,175.5,0.154950586872112,0.131061166901418,0.170378046466684,-0.186385070260334,0.074529109113916,-0.055475292374301,-0.29755331575321,-0.008943799885591,-0.0734643732374,0.027535604059345,-0.008260987676232,0.083230988475502,-0.062023583757764,-0.197174910396454,0.309141257007389,5.50721881790709,17.25656468,149,0.152252187,-0.08127932,-0.056920629,-0.193829476,0.096425407,0.023671451,-0.27885142,0.046924768,-0.115010369,0.032910198,0.00698345,-0.077108075
