SampleID	6e5c88724ce4ad5457ab9e3e47170818	2a57bb2d180f703fc42c5c6a09daeb2c	a91aab690b10d15fa4bb3f92f4bcb1bb	706a7bf8e1523477555af2367caabe35	b4d3bde11a7852822db86dfcb6e192e2	2240ceaa18f273864d855600f82e8601	6709fce3cc81a067e07b33f8c9ce0ee4	0c2e00cd0771baed23966a143cc4fe3b	6444163faf585ef17ef1b76fced8dda0	fd50c416a3a18b9beb1854e2039104d5	156ec14e8e304627c37bc7c62f5d67b6	344ec0961d412288520b117031c48170	42215aa9bbaf8bcc69cd02fad7372548	5b1d3e244e4d3fe0037740f082ca8111	99343cddb8329439e9c7610151cea431	a0be8d71919c852ec02dbc904b5087bb	c46f2be0c725218cd8234016ceeb4855	36fb3d6c1c3a1abc848cf4b8079c248d	aa419b3c76f933b8de0b78799979446b	12bb285ff483127d4c5c419d74818616	297b4081e833a3e09e3fe70a4e6e5eb4	29cc7ad8c34ba421526832d224ac9001	2daf459a194706882b777a76d6b237ec	ba7c31535917259f9ebb14a3a3a5d0d2	6579329d80775017ca3b6d229f8647e9	941d5bc46c04a03f252a9fdb8eb5708e	186c9466fa3560301be8660c0eafc29f	3f255e06746ff3cb116b71a96636e795	bff0635d7c1cd86d92890cd3eb00e48a	e08303917ee994d959468b3557edf809	f877410a77f5fde067d4b57a4788dcef	4d1d5169d3da02411271f94f07526535	51f969e1406f1dfb1ef203ec2e872ba0	5aaf184241f7cc972fac53646c0ea0da	fc549fd50c1c2266a197c0348773d096	fd0dab32040afd70b3294ea7da2b90e4	2643be9c748536bca3d01a10b8a4b5d6	1f6fcfb04dae9aebd2e55370ca53e9b0	99191088d1c127907069767a3223d389	416f09da1462c4515e693effdf2d761b	978969cf66a55e8d5da40e3e078de2da	bd71ec0b1075b8eef8238a1416be7a0d	79b18fb3c8a4b2eadb93a8f629557ffe	914e3ff56a0c4eefca37991f2e22493f	b333f8fa0261da8011ef5b9884e27d60
PM20	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PM21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PM22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PM23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PM24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PM25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PM26	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PM27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PM28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PM29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PM30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
